PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
12801000,1,ILOCOS NORTE,1ST,ADAMS,2012,6,0,0,0
12801000,1,ILOCOS NORTE,1ST,ADAMS,2013,0,0,0,0
12801000,1,ILOCOS NORTE,1ST,ADAMS,2014,0,0,0,0
12801000,1,ILOCOS NORTE,1ST,ADAMS,2015,0,0,0,0
12801000,1,ILOCOS NORTE,1ST,ADAMS,2016,0,0,0,0
12802000,1,ILOCOS NORTE,1ST,BACARRA,2012,2,0,0,0
12802000,1,ILOCOS NORTE,1ST,BACARRA,2013,3,0,0,0
12802000,1,ILOCOS NORTE,1ST,BACARRA,2014,5,2,0,50000
12802000,1,ILOCOS NORTE,1ST,BACARRA,2015,8,0,0,190000
12802000,1,ILOCOS NORTE,1ST,BACARRA,2016,5,0,1,0
12803000,1,ILOCOS NORTE,2ND,BADOC,2012,0,0,0,0
12803000,1,ILOCOS NORTE,2ND,BADOC,2013,1,0,0,0
12803000,1,ILOCOS NORTE,2ND,BADOC,2014,0,0,0,0
12803000,1,ILOCOS NORTE,2ND,BADOC,2015,4,0,0,390000
12803000,1,ILOCOS NORTE,2ND,BADOC,2016,2,0,0,0
12804000,1,ILOCOS NORTE,1ST,BANGUI,2012,2,0,0,265000
12804000,1,ILOCOS NORTE,1ST,BANGUI,2013,3,0,0,63000
12804000,1,ILOCOS NORTE,1ST,BANGUI,2014,5,0,0,3507500
12804000,1,ILOCOS NORTE,1ST,BANGUI,2015,12,0,0,555000
12804000,1,ILOCOS NORTE,1ST,BANGUI,2016,5,0,0,106500
12811000,1,ILOCOS NORTE,2ND,BANNA (ESPIRITU),2012,8,0,0,265000
12811000,1,ILOCOS NORTE,2ND,BANNA (ESPIRITU),2013,4,0,0,0
12811000,1,ILOCOS NORTE,2ND,BANNA (ESPIRITU),2014,2,0,0,124100
12811000,1,ILOCOS NORTE,2ND,BANNA (ESPIRITU),2015,9,0,0,505000
12811000,1,ILOCOS NORTE,2ND,BANNA (ESPIRITU),2016,3,0,0,205200
12805000,1,ILOCOS NORTE,2ND,BATAC CITY,2012,6,0,0,711550
12805000,1,ILOCOS NORTE,2ND,BATAC CITY,2013,3,0,0,0
12805000,1,ILOCOS NORTE,2ND,BATAC CITY,2014,4,0,0,389000
12805000,1,ILOCOS NORTE,2ND,BATAC CITY,2015,17,0,0,67500
12805000,1,ILOCOS NORTE,2ND,BATAC CITY,2016,6,0,0,547700
12806000,1,ILOCOS NORTE,1ST,BURGOS,2012,0,0,0,0
12806000,1,ILOCOS NORTE,1ST,BURGOS,2013,0,0,0,0
12806000,1,ILOCOS NORTE,1ST,BURGOS,2014,0,0,0,0
12806000,1,ILOCOS NORTE,1ST,BURGOS,2015,3,0,0,0
12806000,1,ILOCOS NORTE,1ST,BURGOS,2016,1,0,0,80000
12807000,1,ILOCOS NORTE,1ST,CARASI,2012,0,0,0,0
12807000,1,ILOCOS NORTE,1ST,CARASI,2013,0,0,0,0
12807000,1,ILOCOS NORTE,1ST,CARASI,2014,0,0,0,0
12807000,1,ILOCOS NORTE,1ST,CARASI,2015,0,0,0,0
12807000,1,ILOCOS NORTE,1ST,CARASI,2016,1,0,0,0
12808000,1,ILOCOS NORTE,2ND,CURRIMAO,2012,0,0,0,0
12808000,1,ILOCOS NORTE,2ND,CURRIMAO,2013,0,0,0,0
12808000,1,ILOCOS NORTE,2ND,CURRIMAO,2014,0,0,0,0
12808000,1,ILOCOS NORTE,2ND,CURRIMAO,2015,3,0,0,0
12808000,1,ILOCOS NORTE,2ND,CURRIMAO,2016,3,0,0,500000
12809000,1,ILOCOS NORTE,2ND,DINGRAS,2012,0,0,0,0
12809000,1,ILOCOS NORTE,2ND,DINGRAS,2013,3,0,0,0
12809000,1,ILOCOS NORTE,2ND,DINGRAS,2014,3,0,0,56600
12809000,1,ILOCOS NORTE,2ND,DINGRAS,2015,6,0,0,0
12809000,1,ILOCOS NORTE,2ND,DINGRAS,2016,1,0,0,0
12810000,1,ILOCOS NORTE,1ST,DUMALNEG,2012,0,0,0,0
12810000,1,ILOCOS NORTE,1ST,DUMALNEG,2013,0,0,0,0
12810000,1,ILOCOS NORTE,1ST,DUMALNEG,2014,0,0,0,0
12810000,1,ILOCOS NORTE,1ST,DUMALNEG,2015,0,0,0,0
12810000,1,ILOCOS NORTE,1ST,DUMALNEG,2016,0,0,0,0
12812000,1,ILOCOS NORTE,1ST,LAOAG CITY (CAPITAL),2012,13,5,0,2560250
12812000,1,ILOCOS NORTE,1ST,LAOAG CITY (CAPITAL),2013,14,2,1,2095000
12812000,1,ILOCOS NORTE,1ST,LAOAG CITY (CAPITAL),2014,12,0,0,336649
12812000,1,ILOCOS NORTE,1ST,LAOAG CITY (CAPITAL),2015,121,0,0,2294453
12812000,1,ILOCOS NORTE,1ST,LAOAG CITY (CAPITAL),2016,17,0,0,1342890
12813000,1,ILOCOS NORTE,2ND,MARCOS,2012,6,0,0,640300
12813000,1,ILOCOS NORTE,2ND,MARCOS,2013,2,0,0,120000
12813000,1,ILOCOS NORTE,2ND,MARCOS,2014,4,0,0,114500
12813000,1,ILOCOS NORTE,2ND,MARCOS,2015,3,0,0,125000
12813000,1,ILOCOS NORTE,2ND,MARCOS,2016,3,0,0,13000
12814000,1,ILOCOS NORTE,2ND,NUEVA ERA,2012,0,0,0,0
12814000,1,ILOCOS NORTE,2ND,NUEVA ERA,2013,0,0,0,0
12814000,1,ILOCOS NORTE,2ND,NUEVA ERA,2014,0,0,0,0
12814000,1,ILOCOS NORTE,2ND,NUEVA ERA,2015,2,0,0,0
12814000,1,ILOCOS NORTE,2ND,NUEVA ERA,2016,0,0,0,0
12815000,1,ILOCOS NORTE,1ST,PAGUDPUD,2012,0,0,0,0
12815000,1,ILOCOS NORTE,1ST,PAGUDPUD,2013,0,0,0,0
12815000,1,ILOCOS NORTE,1ST,PAGUDPUD,2014,1,0,0,100000
12815000,1,ILOCOS NORTE,1ST,PAGUDPUD,2015,3,0,0,400000
12815000,1,ILOCOS NORTE,1ST,PAGUDPUD,2016,4,0,0,0
12816000,1,ILOCOS NORTE,2ND,PAOAY,2012,3,0,0,1885000
12816000,1,ILOCOS NORTE,2ND,PAOAY,2013,6,0,0,1290000
12816000,1,ILOCOS NORTE,2ND,PAOAY,2014,7,0,0,2531064
12816000,1,ILOCOS NORTE,2ND,PAOAY,2015,3,0,0,268585
